Adjective	Ethnicity	Gender	Age	Education	L1	Frequency	Function	Priming	Gradability	SemanticCategory	Emotionality	very
bad	PAKEHA	Woman	20-29	University	ENGLISH	-0.116849202938834	Attributive	Prime	-1.22709041023302	Value	NegativeEmotional	other
funny	PAKEHA	Man	16-19	NoUniversity	ENGLISH	-0.140943832840893	Attributive	Prime	0.0480363055620386	HumanPropensity	NonEmotional	other
bad	PAKEHA	Woman	20-29	University	ENGLISH	-0.116849202938834	Attributive	NoPrime	-1.22709041023302	Value	NegativeEmotional	other
good	PAKEHA	Woman	20-29	University	ENGLISH	2.45080164998564	Attributive	Prime	0.951401724086793	Value	PositiveEmotional	other
bad	PAKEHA	Woman	20-29	University	ENGLISH	-0.116849202938834	Attributive	NoPrime	1.22014518489665	Value	NegativeEmotional	other
cool	PAKEHA	Man	16-19	NoUniversity	ENGLISH	0.0329354536400513	Attributive	Prime	-0.117911584266248	PhysicalProperty	PositiveEmotional	other
other	PAKEHA	Man	16-19	NoUniversity	ENGLISH	-0.546663678787645	Predicative	NoPrime	-1.22709041023302	HumanPropensity	PositiveEmotional	other
good	PAKEHA	Man	16-19	NoUniversity	ENGLISH	1.75241544824395	Attributive	NoPrime	1.06615680436254	Value	PositiveEmotional	other
good	PAKEHA	Man	16-19	NoUniversity	ENGLISH	1.75241544824395	Attributive	Prime	0.966216883640246	Value	PositiveEmotional	other
other	PAKEHA	Woman	20-29	University	ENGLISH	-0.586798732922847	Attributive	NoPrime	1.44098834995009	Value	NonEmotional	other
hard	PAKEHA	Woman	30-39	NoUniversity	ENGLISH	-0.341927311724831	Attributive	NoPrime	-0.861039161550672	PhysicalProperty	NonEmotional	other
other	PAKEHA	Woman	30-39	NoUniversity	ENGLISH	-0.65439151240543	Attributive	NoPrime	1.44098834995009	HumanPropensity	NegativeEmotional	other
other	PAKEHA	Woman	30-39	NoUniversity	ENGLISH	-0.627609125631301	Predicative	NoPrime	1.44098834995009	HumanPropensity	PositiveEmotional	other
other	PAKEHA	Woman	30-39	NoUniversity	ENGLISH	-0.609751179466118	Predicative	NoPrime	-0.139613622014831	PhysicalProperty	NonEmotional	other
other	PAKEHA	Woman	30-39	NoUniversity	ENGLISH	-0.636533566240247	Attributive	NoPrime	-1.0011362719288	HumanPropensity	NegativeEmotional	other
other	PAKEHA	Woman	30-39	NoUniversity	ENGLISH	-0.618680152548709	Attributive	NoPrime	0.563885807601813	Other	NonEmotional	other
other	PAKEHA	Woman	30-39	NoUniversity	ENGLISH	-0.466914804986529	Attributive	NoPrime	-1.22709041023302	Other	NonEmotional	other
good	PAKEHA	Woman	30-39	NoUniversity	ENGLISH	2.05955852486416	Attributive	NoPrime	0.386741134866391	Value	PositiveEmotional	other
good	PAKEHA	Woman	30-39	NoUniversity	ENGLISH	2.05955852486416	Attributive	NoPrime	0.311438719663332	Value	PositiveEmotional	other
other	PAKEHA	Woman	20-29	University	ENGLISH	-0.667970803448802	Attributive	NoPrime	1.44098834995009	HumanPropensity	NegativeEmotional	other
other	PAKEHA	Woman	20-29	University	ENGLISH	-0.539806046161269	Attributive	Prime	1.36686340243609	Color	NonEmotional	other
funny	PAKEHA	Woman	20-29	University	ENGLISH	-0.159567767052248	Attributive	NoPrime	1.16417130781241	HumanPropensity	NonEmotional	other
other	PAKEHA	Woman	20-29	University	ENGLISH	-0.633795952158071	Predicative	Prime	0.761847175544986	Dimension	NonEmotional	other
nice	PAKEHA	Woman	20-29	University	ENGLISH	0.109584115467313	Attributive	NoPrime	-1.22709041023302	Value	NonEmotional	other
other	PAKEHA	Woman	20-29	University	ENGLISH	-0.65942709062612	Predicative	NoPrime	0.743976554229114	PhysicalProperty	NonEmotional	other
hard	PAKEHA	Woman	40-49	NoUniversity	ENGLISH	-0.500532162018804	Predicative	NoPrime	-1.22709041023302	PhysicalProperty	NonEmotional	very
other	PAKEHA	Woman	40-49	NoUniversity	ENGLISH	-0.550615995806944	Attributive	NoPrime	0.758453215319744	Difficulty	NonEmotional	other
other	PAKEHA	Woman	40-49	NoUniversity	ENGLISH	-0.643626887496214	Attributive	Prime	-0.631450124378752	Value	NegativeEmotional	other
other	PAKEHA	Woman	20-29	University	ENGLISH	-0.518444497867739	Attributive	NoPrime	-1.22709041023302	Dimension	NegativeEmotional	other
nice	PAKEHA	Woman	20-29	University	ENGLISH	0.109584115467313	Predicative	Prime	0.659219898910082	Value	NonEmotional	other
interesting	PAKEHA	Man	20-29	NoUniversity	ENGLISH	-0.38172696281023	Attributive	NoPrime	1.44098834995009	Value	PositiveEmotional	other
other	PAKEHA	Man	20-29	NoUniversity	ENGLISH	-0.578255020100164	Predicative	NoPrime	-0.101503343493533	Speed	NonEmotional	other
other	PAKEHA	Man	20-29	University	ENGLISH	-0.646609255155273	Attributive	NoPrime	1.44098834995009	Value	NegativeEmotional	other
other	OTHER	Man	20-29	NoUniversity	OTHER	-0.646609255155273	Attributive	NoPrime	0.384955728023911	HumanPropensity	PositiveEmotional	other
other	PAKEHA	Man	20-29	NoUniversity	ENGLISH	-0.59534244574553	Predicative	NoPrime	1.44098834995009	Value	PositiveEmotional	other
other	PAKEHA	Man	20-29	NoUniversity	ENGLISH	-0.625247706861743	Attributive	NoPrime	1.44098834995009	Other	NonEmotional	other
other	PAKEHA	Man	20-29	NoUniversity	ENGLISH	-0.625247706861743	Attributive	NoPrime	1.44098834995009	Other	NonEmotional	other
good	PAKEHA	Man	20-29	University	ENGLISH	2.45080164998564	Attributive	Prime	0.0746201281675843	Value	PositiveEmotional	other
other	PAKEHA	Man	20-29	University	ENGLISH	-0.613853068115735	Attributive	NoPrime	-1.22709041023302	Value	NonEmotional	very
other	PAKEHA	Man	20-29	University	ENGLISH	-0.60217288353003	Attributive	NoPrime	0.36152031257243	PhysicalProperty	NegativeEmotional	other
other	PAKEHA	Woman	60+	University	ENGLISH	-0.319981074330969	Attributive	NoPrime	-0.483262248102353	Dimension	NegativeEmotional	very
nice	PAKEHA	Woman	60+	University	ENGLISH	0.384551161674674	Attributive	Prime	-0.307213035504113	Value	NonEmotional	very
good	PAKEHA	Woman	60+	University	ENGLISH	0.149705572181577	Attributive	NoPrime	1.16463117842894	Value	PositiveEmotional	very
nice	PAKEHA	Woman	60+	University	ENGLISH	0.384551161674674	Predicative	NoPrime	-1.22709041023302	Value	NonEmotional	very
other	PAKEHA	Woman	60+	University	ENGLISH	-0.319981074330969	Predicative	NoPrime	1.01672481980922	Dimension	NegativeEmotional	very
other	MAORI/PAKEHA	Woman	20-29	NoUniversity	ENGLISH	-0.61670399403906	Attributive	NoPrime	-1.22709041023302	PhysicalProperty	PositiveEmotional	other
bad	MAORI/PAKEHA	Woman	20-29	NoUniversity	ENGLISH	-0.116849202938834	Attributive	NoPrime	-1.22709041023302	Value	NegativeEmotional	other
other	MAORI/PAKEHA	Woman	20-29	NoUniversity	ENGLISH	-0.578255020100164	Attributive	NoPrime	0.456942012978593	Speed	NonEmotional	other
nice	MAORI/PAKEHA	Woman	20-29	NoUniversity	ENGLISH	0.109584115467313	Attributive	NoPrime	-0.629004167603259	Value	NonEmotional	other
other	PAKEHA	Woman	16-19	University	ENGLISH	-0.189246404486161	Attributive	NoPrime	-1.22709041023302	HumanPropensity	NonEmotional	other
other	PAKEHA	Woman	16-19	University	ENGLISH	-0.450063067970754	Predicative	NoPrime	1.04083422549663	HumanPropensity	NonEmotional	other
funny	PAKEHA	Woman	16-19	University	ENGLISH	-0.140943832840893	Predicative	NoPrime	-1.22709041023302	HumanPropensity	NonEmotional	other
other	PAKEHA	Woman	16-19	University	ENGLISH	-0.65292299094413	Predicative	Prime	-0.00869790723277083	Other	NegativeEmotional	other
funny	PAKEHA	Woman	16-19	University	ENGLISH	-0.140943832840893	Attributive	NoPrime	-0.957047591553955	HumanPropensity	NonEmotional	other
nice	PAKEHA	Woman	16-19	University	ENGLISH	0.245454077953022	Attributive	Prime	-1.22709041023302	Value	NonEmotional	other
other	PAKEHA	Woman	30-39	University	ENGLISH	-0.614469484531589	Predicative	NoPrime	-1.22709041023302	HumanPropensity	NonEmotional	very
other	PAKEHA	Woman	30-39	University	ENGLISH	-0.624100991029308	Attributive	NoPrime	0.462502394366978	HumanPropensity	NegativeEmotional	other
funny	PAKEHA	Woman	20-29	University	ENGLISH	-0.415317125000629	Attributive	NoPrime	-1.22709041023302	HumanPropensity	NonEmotional	other
bad	PAKEHA	Woman	20-29	University	ENGLISH	-0.275173039866755	Predicative	NoPrime	-1.22709041023302	Value	NegativeEmotional	other
good	PAKEHA	Man	30-39	NoUniversity	ENGLISH	2.05955852486416	Attributive	NoPrime	0.223612267980052	Value	PositiveEmotional	very
other	PAKEHA	Man	30-39	NoUniversity	ENGLISH	-0.636533566240247	Attributive	NoPrime	-1.22709041023302	Other	NonEmotional	very
other	PAKEHA	Woman	20-29	University	ENGLISH	-0.0416010754681813	Attributive	Prime	0.617393261518836	Age	NonEmotional	very
interesting	PAKEHA	Woman	30-39	NoUniversity	ENGLISH	-0.470033146854967	Predicative	NoPrime	1.44098834995009	Value	PositiveEmotional	other
interesting	PAKEHA	Woman	30-39	NoUniversity	ENGLISH	-0.470033146854967	Attributive	Prime	1.44098834995009	Value	PositiveEmotional	other
good	PAKEHA	Woman	30-39	NoUniversity	ENGLISH	2.05955852486416	Attributive	Prime	-1.22709041023302	Value	PositiveEmotional	other
other	PAKEHA	Woman	30-39	NoUniversity	ENGLISH	-0.662617952072894	Attributive	NoPrime	0.785537803397005	Color	NonEmotional	other
nice	PAKEHA	Woman	30-39	NoUniversity	ENGLISH	-0.267816835139321	Attributive	NoPrime	-1.22709041023302	Value	NonEmotional	very
good	PAKEHA	Woman	30-39	NoUniversity	ENGLISH	2.05955852486416	Predicative	NoPrime	0.827229196931946	Value	PositiveEmotional	other
other	PAKEHA	Man	30-39	University	ENGLISH	-0.575952523488004	Predicative	NoPrime	1.44098834995009	Value	PositiveEmotional	other
good	OTHER	Woman	30-39	NoUniversity	ENGLISH	2.05955852486416	Attributive	NoPrime	0.096112757578936	Value	PositiveEmotional	other
other	OTHER	Woman	30-39	NoUniversity	ENGLISH	-0.663315953014375	Predicative	NoPrime	0.475203099576732	HumanPropensity	NonEmotional	other
other	PAKEHA	Man	30-39	University	ENGLISH	-0.662617952072894	Attributive	NoPrime	0.0560251238296759	Value	PositiveEmotional	other
other	PAKEHA	Man	30-39	University	ENGLISH	-0.652986445575174	Attributive	NoPrime	0.191369869009025	Other	NegativeEmotional	other
bad	OTHER	Woman	30-39	NoUniversity	ENGLISH	-0.324073898033294	Attributive	NoPrime	0.35484579909676	Value	NegativeEmotional	other
bad	OTHER	Woman	30-39	NoUniversity	ENGLISH	-0.324073898033294	Attributive	NoPrime	0.731423468656081	Value	NegativeEmotional	other
funny	PAKEHA	Man	50-59	University	ENGLISH	-0.61477316026587	Attributive	NoPrime	0.377804924280268	HumanPropensity	NonEmotional	other
funny	PAKEHA	Woman	40-49	NoUniversity	ENGLISH	-0.600699829595085	Predicative	NoPrime	0.553811455129092	HumanPropensity	NonEmotional	very
