ID	File	Speaker	Adjective	Ethnicity	Gender	Age	Education	L1	Frequency	Function	Priming	Gradability	SemanticCategory	Emotionality	very	FileSpeaker
54111	DPC139	MY	quiet	PAKEHA	Woman	16-19	University	ENGLISH	0.02131	Attributive	NoPrime	-1.69506666962215	PhysicalProperty	PositiveEmotional	other	DPC139MY
54121	DPC139	MY	different	PAKEHA	Woman	16-19	University	ENGLISH	0.74595	Attributive	NoPrime	1	Other	NonEmotional	other	DPC139MY
54145	DPC139	JN	awful	MAORI	Woman	20-29	University	ENGLISH	0.35819	Attributive	NoPrime	-1.11456846172147	Value	NegativeEmotional	other	DPC139JN
54149	DPC139	MY	bad	PAKEHA	Woman	16-19	University	ENGLISH	1.30009	Attributive	Prime	-0.228251364923159	Value	NegativeEmotional	other	DPC139MY
54246	DPC140	DR	cold	PAKEHA	Woman	30-39	University	ENGLISH	0.40365	Predicative	NoPrime	-1.32300985444641	PhysicalProperty	NegativeEmotional	very	DPC140DR
54261	DPC140	DR	pleasant	PAKEHA	Woman	30-39	University	ENGLISH	0.08498	Attributive	NoPrime	-1.09345200449905	Value	PositiveEmotional	other	DPC140DR
54297	DPC140	DR	strong	PAKEHA	Woman	30-39	University	ENGLISH	0.31867	Attributive	NoPrime	-0.583158509082815	PhysicalProperty	NonEmotional	very	DPC140DR
54423	DPC140	MT	big	PAKEHA	Woman	60+	University	ENGLISH	1.87891	Predicative	NoPrime	-2.27406606532825	Dimension	NonEmotional	other	DPC140MT
54516	DPC141	RT	cold	PAKEHA	Woman	60+	University	ENGLISH	0.4386	Attributive	NoPrime	0.390812170522344	PhysicalProperty	NegativeEmotional	other	DPC141RT
54621	DPC141	RT	pleased	PAKEHA	Woman	60+	University	ENGLISH	0.4386	Predicative	NoPrime	1	HumanPropensity	PositiveEmotional	very	DPC141RT
54665	DPC141	WG	nice	PAKEHA	Woman	40-49	University	ENGLISH	0.85191	Predicative	NoPrime	-2.7654906556595	Value	NonEmotional	very	DPC141WG
54767	DPC151	AF	good	PAKEHA	Woman	30-39	NoUniversity	ENGLISH	4.46144	Attributive	NoPrime	-3.66356164612965	Value	PositiveEmotional	other	DPC151AF
54862	DPC151	BV	good	PAKEHA	Woman	40-49	NoUniversity	ENGLISH	4.26204	Predicative	NoPrime	-2.83417965808543	Value	PositiveEmotional	other	DPC151BV
54900	DPC151	AF	windy	PAKEHA	Woman	30-39	NoUniversity	ENGLISH	0.02124	Attributive	NoPrime	-0.97435113678718	PhysicalProperty	NonEmotional	other	DPC151AF
54907	DPC151	BV	difficult	PAKEHA	Woman	40-49	NoUniversity	ENGLISH	0.33149	Attributive	NoPrime	0.994055162925576	Difficulty	NonEmotional	very	DPC151BV
54924	DPC151	AF	good	PAKEHA	Woman	30-39	NoUniversity	ENGLISH	4.46144	Attributive	NoPrime	-2.1324423782224	Value	PositiveEmotional	other	DPC151AF
54997	DPC153	AH	good	MAORI	Woman	20-29	University	OTHER	6.08091	Predicative	NoPrime	0.519036509296035	Value	PositiveEmotional	very	DPC153AH
55213	DPC153	ME	nice	MAORI	Woman	20-29	University	OTHER	1.03066	Attributive	NoPrime	-0.167001824480752	Value	NonEmotional	other	DPC153ME
55218	DPC153	ME	nice	MAORI	Woman	20-29	University	OTHER	1.03066	Predicative	Prime	-0.659155263479576	Value	NonEmotional	other	DPC153ME
55266	DPC154	EM	different	PAKEHA	Woman	20-29	NoUniversity	ENGLISH	0.89547	Attributive	NoPrime	1	Other	NonEmotional	other	DPC154EM
55314	DPC154	EM	horrible	PAKEHA	Woman	20-29	NoUniversity	ENGLISH	0.2545	Attributive	NoPrime	-3.66356164612965	Value	NegativeEmotional	other	DPC154EM
55415	DPC154	PA	interesting	PAKEHA	Woman	20-29	University	ENGLISH	0.64097	Attributive	NoPrime	1	Value	PositiveEmotional	other	DPC154PA
55470	DPC154	PA	awful	PAKEHA	Woman	20-29	University	ENGLISH	0.35819	Attributive	NoPrime	-2.87408380472385	Value	NegativeEmotional	other	DPC154PA
55486	DPC154	PA	good	PAKEHA	Woman	20-29	University	ENGLISH	6.89038	Attributive	Prime	0.363444516442274	Value	PositiveEmotional	other	DPC154PA
