"Age"	"Function"	"Variant"	"Adjective"	"VariantAdjective"	"VariantOtherAdjective"	"OtherVariantAdjective"	"OtherVariantOtherAdjective"	"AmplifierFrequency"	"AdjectiveFrequency"	"TotalFrequency"	"Expected"	"Probability"	"OddsRatio"	"p"	"Effect"
"40-49"	"Attributive"	"really"	"good"	4	22	11	65	26	15	102	3.82352941176471	0.147058823529412	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	0.666542050712109	0.18
"40-49"	"Attributive"	"very"	"good"	7	31	8	56	38	15	102	5.58823529411765	0.147058823529412	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	0.813391871961597	0.09
"40-49"	"Attributive"	"other"	"nice"	1	37	6	58	38	7	102	2.6078431372549	0.0686274509803922	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	0.254961185980723	0.59
"40-49"	"Attributive"	"really"	"nice"	2	24	5	71	26	7	102	1.7843137254902	0.0686274509803922	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	0.737031366057059	0.13
"40-49"	"Attributive"	"very"	"nice"	4	34	3	61	38	7	102	2.6078431372549	0.0686274509803922	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	0.883484205819711	0.05
"40-49"	"Attributive"	"other"	"other"	33	5	47	17	38	80	102	29.8039215686275	0.784313725490196	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	0.935194463676192	0.03
"40-49"	"Attributive"	"really"	"other"	20	6	60	16	26	80	102	20.3921568627451	0.784313725490196	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	0.501961859867656	0.3
"40-49"	"Attributive"	"very"	"other"	27	11	53	11	38	80	102	29.8039215686275	0.784313725490196	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	0.179731919058552	0.75
"40-49"	"Predicative"	"other"	"good"	2	18	7	25	20	9	52	3.46153846153846	0.173076923076923	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	0.301953713988651	0.52
"40-49"	"Predicative"	"really"	"good"	5	8	4	35	13	9	52	2.25	0.173076923076923	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	0.984800244076782	0.01
"40-49"	"Predicative"	"very"	"good"	2	17	7	26	19	9	52	3.28846153846154	0.173076923076923	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	0.336998265860699	0.47
"40-49"	"Predicative"	"very"	"nice"	1	18	0	33	19	1	52	0.365384615384615	0.0192307692307692	"Inf"	0.949068765524575	0.02
"40-49"	"Predicative"	"other"	"other"	18	2	24	8	20	42	52	16.1538461538462	0.807692307692308	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	0.919557601566023	0.04
"40-49"	"Predicative"	"really"	"other"	8	5	34	5	13	42	52	10.5	0.807692307692308	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	0.0863553965959076	1.06
"40-49"	"Predicative"	"very"	"other"	16	3	26	7	19	42	52	15.3461538461538	0.807692307692308	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	0.736960095703774	0.13
"50-59"	"Attributive"	"other"	"good"	1	19	7	56	20	8	83	1.92771084337349	0.0963855421686747	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	0.412733784024847	0.38
"50-59"	"Attributive"	"really"	"good"	6	9	2	66	15	8	83	1.44578313253012	0.0963855421686747	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	0.999753279907208	0
"50-59"	"Attributive"	"very"	"good"	1	47	7	28	48	8	83	4.62650602409639	0.0963855421686747	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	0.0472001773978076	1.33
"50-59"	"Attributive"	"really"	"nice"	2	13	10	58	15	12	83	2.16867469879518	0.144578313253012	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	0.627948354524514	0.2
